ID,Slice,Module,Method,Dir,Portal usage,SAP fields consumed,Proposed ECC object (RFC/BAPI),Portal assumption to challenge,Risk,[SD] Verdict,[SD] Actual object / field gaps,[SD] Config prerequisites,[SD] Owner,[SD] Effort (days)
30,3-Logistics,delivery,confirmPod(input),W,Customer confirms receipt or reports a discrepancy,LIKP-KOQUK; LIPS-LFIMG received vs dispatched,BAPI_OUTB_DELIVERY_CONFIRM_DEC / VLPOD,IS POD PROCESSING EVEN ACTIVATED for these delivery/shipping-point types. If not the whole POD module changes shape,High,,,,,
31,3-Finance,invoice,getInvoicePdf(vbeln),R,Download the rendered invoice,Output/spool of the billing document,Z wrapper: convert output type spool to PDF (CONVERT_OTF / archived print list),A rendered PDF is retrievable at all - often the hardest row on this sheet. Alternative is portal-rendered HTML from the invoice data,High,,,,,
32,3-Finance,invoice,getBillingRegister(),R,AR desk invoice register and AP desk note register - two filters over one read,VBRK-VBELN FKDAT FKART KUNNR NETWR,Z wrapper over VBRK selection by date range,A tenant-wide billing read with a date bound is acceptable in volume,Med,,,,,
33,3-Finance,ar,getOpenItemsLedger(),R,Whole AR ledger - aging dunning and collections all derive from it; KUNNR travels on the row,BSID-BELNR KUNNR DMBTR; BKPF-BLART BUDAT; BSEG-AUGBL,Z wrapper over BSID by company code,VOLUME: how many open items tenant-wide. This read backs the desk dashboards and is the most likely performance problem on the sheet,High,,,,,
34,3-Finance,loyalty,getCreditInfo(kunnr),R,Credit gauge; exposure vs limit; the 80/95 percent bands,KNKK-KLIMK SKFOR CTLPC,BAPI_CREDITLIMIT_GETLIST / BAPI_CREDITLIMIT_GETDETAIL,CLASSIC CREDIT MANAGEMENT (FD32/KNKK) OR S/4 FSCM. If FSCM the fields move to UKM tables and this row is rewritten,High,,,,,
35,3-Finance,order,getCreditBlockedOrders(),R,AR desk credit release queue - read only by design,VBUK-CMGST; VBAK-VBELN ERDAT KUNNR NETWR,Z wrapper over VBAK/VBUK where CMGST=B,Tenant-wide selection of credit-blocked orders is acceptable,Med,,,,,
36,3-Finance,order,releaseCreditBlock(input),W,VKM3 release - RE-RUNS the credit check rather than forcing the status,VBUK-CMGST after re-check,Z wrapper over VKM3 / SD_ORDER_CREDIT_RELEASE,The portal deliberately has no method that writes VBUK-CMGST directly. Confirm a release that re-runs the check is exposable and who is authorised to call it,High,,,,,
37,3-Finance,payment,postIncomingPayment(input),W,Post and clear a gateway payment against open items,BSID-BELNR allocations; BSEG-KIDNO gateway reference,BAPI_ACC_DOCUMENT_POST + clearing (F-28 equivalent) or POST_DOCUMENT,IDEMPOTENCY on BSEG-KIDNO: a replayed webhook must not post twice. Also which GL/bank clearing account the portal posts to and who owns partial-payment residual handling,High,,,,,
38,3-Finance,payment,postOutgoingPayment(input),W,AP desk refunds a credit note and clears its FI item,BSID-BELNR; BKPF-BKTXT carries who authorised it,BAPI_ACC_DOCUMENT_POST (F-53/F-58 equivalent),Money leaving the tenant from a web portal is acceptable at all - this may be refused outright and become a manual desk action,High,,,,,
39,3-Finance,loyalty,getRebateAgreements(kunnr),R,Customer view of rebate agreements and accruals,KONA-KNUMA BOART BODAT BODBE KAWRT BOSTA,Z wrapper over KONA by customer,ECC REBATES (KONA) OR S/4 CONDITION CONTRACT SETTLEMENT. On S/4 classic rebates are largely retired and this row is rewritten,High,,,,,
40,3-Finance,loyalty,getRebateRegister(),R,AP desk settlement queue - tenant-wide,KONA-KNUMA BOART BODBE KAWRT BOSTA,Z wrapper over KONA,Same as above; plus BOSTA values B open / C released / D settled match this tenant,Med,,,,,
41,3-Finance,loyalty,settleRebateAgreement(input),W,AP desk settles a released agreement - posts the credit memo request,KONA-BOSTA after the run,Z wrapper over VB(7 settlement run,Settlement is triggerable per agreement rather than only as a batch run; idempotent on the agreement-derived reference,High,,,,,
